Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,
0,Edge District,35.159758,-90.05426,Little Cafe Eclectic,35.160896,-90.053805,Coffee Shop
1,Edge District,35.159758,-90.05426,Miss Cordelia's Grocery,35.161108,-90.053721,Grocery Store
2,Edge District,35.159758,-90.05426,The Lookout at the Pyramid,35.156012,-90.052153,American Restaurant
3,Edge District,35.159758,-90.05426,Bass Pro Shops At The Pyramid (Bass Pro Shops ...,35.156008,-90.052148,Sporting Goods Shop
4,Edge District,35.159758,-90.05426,Tug's,35.160924,-90.055177,American Restaurant
5,Edge District,35.159758,-90.05426,NailBar & Co,35.160859,-90.053667,Nail Salon
6,Edge District,35.159758,-90.05426,Cannon Center For The Performing Arts,35.150488,-90.051605,Concert Hall
7,Edge District,35.159758,-90.05426,Terrace at the River Inn,35.161136,-90.055061,Bar
8,Edge District,35.159758,-90.05426,Ferraro's Pizzeria & Pub,35.153917,-90.048898,Pizza Place
9,Edge District,35.159758,-90.05426,Qahwa,35.148373,-90.051681,Coffee Shop
10,Edge District,35.159758,-90.05426,Alcenia's,35.153665,-90.049587,Southern / Soul Food Restaurant
11,Edge District,35.159758,-90.05426,Mississippi River Greenbelt Park,35.173387,-90.055146,Park
12,Edge District,35.159758,-90.05426,Court Square,35.14604,-90.051906,Park
13,Edge District,35.159758,-90.05426,Maciel's Tortas & Tacos,35.144,-90.053038,Mexican Restaurant
14,Edge District,35.159758,-90.05426,Bardog Tavern,35.144412,-90.053921,Bar
15,Edge District,35.159758,-90.05426,Pyramid Wine and Spirits,35.156951,-90.047005,Liquor Store
16,Edge District,35.159758,-90.05426,Rachel's Salon & Day Spa,35.145709,-90.052597,Salon / Barbershop
17,Edge District,35.159758,-90.05426,Flight Restaurant and Wine Bar,35.14426,-90.053297,Tapas Restaurant
18,Edge District,35.159758,-90.05426,Westy's,35.1542,-90.04893,New American Restaurant
