,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Edge District,35.1597581,-90.0542605,Little Cafe Eclectic,35.16089573,-90.05380511,Coffee Shop
1,Edge District,35.1597581,-90.0542605,Miss Cordelia's Grocery,35.16110818,-90.0537212,Grocery Store
2,Edge District,35.1597581,-90.0542605,The Lookout at the Pyramid,35.15601237,-90.05215287,American Restaurant
3,Edge District,35.1597581,-90.0542605,Bass Pro Shops At The Pyramid (Bass Pro Shops at the Pyramid),35.15600798,-90.05214751,Sporting Goods Shop
4,Edge District,35.1597581,-90.0542605,Tug's,35.16092354,-90.05517667,American Restaurant
5,Edge District,35.1597581,-90.0542605,NailBar & Co,35.16085858,-90.0536667,Nail Salon
6,Edge District,35.1597581,-90.0542605,Cannon Center For The Performing Arts,35.15048756,-90.05160491,Concert Hall
7,Edge District,35.1597581,-90.0542605,Terrace at the River Inn,35.16113639,-90.05506111,Bar
8,Edge District,35.1597581,-90.0542605,Ferraro's Pizzeria & Pub,35.15391692,-90.04889768,Pizza Place
9,Edge District,35.1597581,-90.0542605,Qahwa,35.1483731,-90.05168135,Coffee Shop
10,Edge District,35.1597581,-90.0542605,Alcenia's,35.15366544,-90.0495866,Southern / Soul Food Restaurant
11,Edge District,35.1597581,-90.0542605,Mississippi River Greenbelt Park,35.17338736,-90.05514622,Park
12,Edge District,35.1597581,-90.0542605,Court Square,35.1460403,-90.05190594,Park
13,Edge District,35.1597581,-90.0542605,Maciel's Tortas & Tacos,35.14400029,-90.05303825,Mexican Restaurant
14,Edge District,35.1597581,-90.0542605,Bardog Tavern,35.14441158,-90.05392078,Bar
15,Edge District,35.1597581,-90.0542605,Pyramid Wine and Spirits,35.15695059,-90.0470049,Liquor Store
16,Edge District,35.1597581,-90.0542605,Rachel's Salon & Day Spa,35.14570939,-90.05259684,Salon / Barbershop
17,Edge District,35.1597581,-90.0542605,Flight Restaurant and Wine Bar,35.14426004,-90.05329682,Tapas Restaurant
18,Edge District,35.1597581,-90.0542605,Westy's,35.1542,-90.04893,New American Restaurant
19,Edge District,35.1597581,-90.0542605,Uptown Office Cafe,35.16039192,-90.04510158,Deli / Bodega
20,Edge District,35.1597581,-90.0542605,Kay Kafe,35.15362759,-90.04221551,Food Court
21,Edge District,35.1597581,-90.0542605,Madison Hotel,35.145152,-90.05337,Hotel
22,Edge District,35.1597581,-90.0542605,AutoZone Park,35.14274839,-90.04988372,Baseball Stadium
23,Edge District,35.1597581,-90.0542605,The Brass Door,35.1446676,-90.05098472,Pub
24,Edge District,35.1597581,-90.0542605,The Peabody Hotel,35.14247474,-90.0520102,Hotel
25,Edge District,35.1597581,-90.0542605,Mud Island River Park,35.14941546,-90.05811667,Park
26,Edge District,35.1597581,-90.0542605,McEwen's,35.14403048,-90.05262051,American Restaurant
27,Edge District,35.1597581,-90.0542605,Flying Fish,35.14206387,-90.05273474,Seafood Restaurant
28,Edge District,35.1597581,-90.0542605,Cozy Corner,35.15524799,-90.03427262,BBQ Joint
29,Edge District,35.1597581,-90.0542605,Aldo's Pizza Pies,35.1423118,-90.05388144,Pizza Place
30,Edge District,35.1597581,-90.0542605,Lenny's Sub Shop,35.14653679,-90.05325028,Sandwich Place
31,Edge District,35.1597581,-90.0542605,Envision Memphis,35.14381528,-90.05149899,Gym / Fitness Center
32,Edge District,35.1597581,-90.0542605,The Majestic Grille,35.14117309,-90.05448901,American Restaurant
33,Edge District,35.1597581,-90.0542605,Tamp & Tap,35.14152488,-90.05317237,Café
34,Edge District,35.1597581,-90.0542605,Orpheum Theater,35.14030061,-90.05542945,Theater
35,Edge District,35.1597581,-90.0542605,Texas De Brazil,35.14176688,-90.05286627,Brazilian Restaurant
36,Edge District,35.1597581,-90.0542605,Slavehaven Underground Railroad Museum,35.16465269,-90.04319039,History Museum
37,Edge District,35.1597581,-90.0542605,The Little Tea Shop,35.14444313,-90.05405133,Southern / Soul Food Restaurant
38,Edge District,35.1597581,-90.0542605,Havana Mix,35.14031171,-90.05107794,Smoke Shop
