Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,
0,Arlington Heights,45.519496,-122.710667,Portland Japanese Garden,45.519457,-122.706937,Garden
1,Arlington Heights,45.519496,-122.710667,Washington Park,45.517835,-122.705784,Park
2,Arlington Heights,45.519496,-122.710667,International Rose Test Garden,45.519075,-122.705616,Botanical Garden
3,Arlington Heights,45.519496,-122.710667,Hoyt Arboretum,45.517493,-122.717714,Park
4,Arlington Heights,45.519496,-122.710667,Shakespeare Garden,45.518558,-122.704685,Garden
5,Arlington Heights,45.519496,-122.710667,Pittock Mansion,45.525262,-122.716684,Museum
6,Arlington Heights,45.519496,-122.710667,Forest Park - Wildwood Trail,45.527233,-122.717003,Trail
7,Arlington Heights,45.519496,-122.710667,Zupan's Market,45.523246,-122.698888,Grocery Store
8,Arlington Heights,45.519496,-122.710667,Oregon Zoo,45.509949,-122.716005,Zoo
9,Arlington Heights,45.519496,-122.710667,Elephants Delicatessen,45.523832,-122.696549,Deli / Bodega
10,Arlington Heights,45.519496,-122.710667,Elephant Exhibit,45.508504,-122.712373,Zoo
11,Arlington Heights,45.519496,-122.710667,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
12,Arlington Heights,45.519496,-122.710667,Moonstruck Chocolate Company,45.526566,-122.698394,Candy Store
13,Arlington Heights,45.519496,-122.710667,Papa Haydn,45.527747,-122.698623,Dessert Shop
14,Arlington Heights,45.519496,-122.710667,Ringside,45.523357,-122.695709,Steakhouse
15,Arlington Heights,45.519496,-122.710667,Tea Chai Té,45.528192,-122.698443,Tea Room
16,Arlington Heights,45.519496,-122.710667,Providence Park,45.521548,-122.691772,Soccer Stadium
17,Arlington Heights,45.519496,-122.710667,Ken's Artisan Bakery,45.525463,-122.694339,Bakery
18,Arlington Heights,45.519496,-122.710667,The Meadow - NW 23rd Ave.,45.528545,-122.698671,Gourmet Shop
19,Arlington Heights,45.519496,-122.710667,LUSH,45.52782,-122.698454,Cosmetics Shop
20,Arlington Heights,45.519496,-122.710667,Bibi2Go,45.530094,-122.698656,Korean Restaurant
21,Arlington Heights,45.519496,-122.710667,Bamboo Sushi NW,45.528981,-122.698494,Sushi Restaurant
