,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Arlington Heights,45.5194963,-122.7106671,Portland Japanese Garden,45.51945663,-122.7069372,Garden
1,Arlington Heights,45.5194963,-122.7106671,Washington Park,45.5178349,-122.7057838,Park
2,Arlington Heights,45.5194963,-122.7106671,International Rose Test Garden,45.51907491,-122.7056157,Botanical Garden
3,Arlington Heights,45.5194963,-122.7106671,Hoyt Arboretum,45.51749285,-122.7177143,Park
4,Arlington Heights,45.5194963,-122.7106671,Shakespeare Garden,45.51855789,-122.7046845,Garden
5,Arlington Heights,45.5194963,-122.7106671,Pittock Mansion,45.52526176,-122.7166843,Museum
6,Arlington Heights,45.5194963,-122.7106671,Forest Park - Wildwood Trail,45.52723349,-122.7170033,Trail
7,Arlington Heights,45.5194963,-122.7106671,Zupan's Market,45.52324572,-122.6988878,Grocery Store
8,Arlington Heights,45.5194963,-122.7106671,Oregon Zoo,45.50994863,-122.7160046,Zoo
9,Arlington Heights,45.5194963,-122.7106671,Elephants Delicatessen,45.52383153,-122.6965488,Deli / Bodega
10,Arlington Heights,45.5194963,-122.7106671,Elephant Exhibit,45.5085044,-122.7123734,Zoo
11,Arlington Heights,45.5194963,-122.7106671,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
12,Arlington Heights,45.5194963,-122.7106671,Moonstruck Chocolate Company,45.52656565,-122.6983942,Candy Store
13,Arlington Heights,45.5194963,-122.7106671,Papa Haydn,45.52774746,-122.6986225,Dessert Shop
14,Arlington Heights,45.5194963,-122.7106671,Ringside,45.52335705,-122.6957089,Steakhouse
15,Arlington Heights,45.5194963,-122.7106671,Tea Chai Té,45.52819215,-122.698443,Tea Room
16,Arlington Heights,45.5194963,-122.7106671,Providence Park,45.52154845,-122.691772,Soccer Stadium
17,Arlington Heights,45.5194963,-122.7106671,Ken's Artisan Bakery,45.52546303,-122.6943386,Bakery
18,Arlington Heights,45.5194963,-122.7106671,The Meadow - NW 23rd Ave.,45.52854514,-122.6986709,Gourmet Shop
19,Arlington Heights,45.5194963,-122.7106671,LUSH,45.52781976,-122.6984536,Cosmetics Shop
20,Arlington Heights,45.5194963,-122.7106671,Bibi2Go,45.53009447,-122.6986563,Korean Restaurant
21,Arlington Heights,45.5194963,-122.7106671,Bamboo Sushi NW,45.52898121,-122.6984941,Sushi Restaurant
22,Arlington Heights,45.5194963,-122.7106671,Warby Parker,45.52868405,-122.6986568,Optical Shop
23,Arlington Heights,45.5194963,-122.7106671,Barista,45.52879505,-122.6986005,Coffee Shop
24,Arlington Heights,45.5194963,-122.7106671,Trader Joe's,45.52614928,-122.6951399,Grocery Store
25,Arlington Heights,45.5194963,-122.7106671,Sterling Coffee Roasters,45.52597786,-122.6943533,Coffee Shop
26,Arlington Heights,45.5194963,-122.7106671,Giraffe Exhibit At The Oregon Zoo,45.50771825,-122.7152464,Zoo Exhibit
27,Arlington Heights,45.5194963,-122.7106671,Multnomah Athletic Club (MAC),45.52024412,-122.6921899,Gym / Fitness Center
28,Arlington Heights,45.5194963,-122.7106671,Little Big Burger,45.52943396,-122.6985326,Burger Joint
29,Arlington Heights,45.5194963,-122.7106671,Voicebox Karaoke,45.52692579,-122.6947924,Karaoke Bar
30,Arlington Heights,45.5194963,-122.7106671,Blue Star Donuts,45.5295331,-122.6986802,Donut Shop
31,Arlington Heights,45.5194963,-122.7106671,The Fireside,45.5284899,-122.6988609,American Restaurant
32,Arlington Heights,45.5194963,-122.7106671,The Civic Taproom & Bottle Shop,45.52259395,-122.6902536,Beer Store
33,Arlington Heights,45.5194963,-122.7106671,Bartini,45.52621082,-122.6947661,Cocktail Bar
34,Arlington Heights,45.5194963,-122.7106671,Tender Loving Empire,45.5266781,-122.6985795,Miscellaneous Shop
35,Arlington Heights,45.5194963,-122.7106671,Caffe Mingo,45.52878496,-122.6946173,Italian Restaurant
36,Arlington Heights,45.5194963,-122.7106671,Portland Children's Museum,45.50853009,-122.7177862,Science Museum
37,Arlington Heights,45.5194963,-122.7106671,Lower MacLeay Park,45.53583667,-122.7123863,Park
38,Arlington Heights,45.5194963,-122.7106671,Cinema 21 Theatre,45.52751448,-122.6943742,Movie Theater
39,Arlington Heights,45.5194963,-122.7106671,Uno Mas Taquiza,45.52281552,-122.6904981,Taco Place
40,Arlington Heights,45.5194963,-122.7106671,Kinara Thai Bistro,45.51913319,-122.692138,Thai Restaurant
41,Arlington Heights,45.5194963,-122.7106671,Hotel deLuxe,45.5209868,-122.6877048,Hotel
42,Arlington Heights,45.5194963,-122.7106671,Timbers Army Fanladen,45.52256146,-122.6886597,Athletics & Sports
43,Arlington Heights,45.5194963,-122.7106671,Wallace Park,45.53322876,-122.7038097,Park
44,Arlington Heights,45.5194963,-122.7106671,Breakside Brewery,45.53392406,-122.6964645,Brewery
45,Arlington Heights,45.5194963,-122.7106671,New Seasons Market,45.53383995,-122.6960056,Grocery Store
46,Arlington Heights,45.5194963,-122.7106671,Ichiza Kitchen And Tea House,45.51753038,-122.6910653,Japanese Restaurant
47,Arlington Heights,45.5194963,-122.7106671,Artists Repertory Theatre,45.52173709,-122.6875958,Theater
48,Arlington Heights,45.5194963,-122.7106671,Audubon Society Of Portland,45.52668782,-122.7302234,Park
49,Arlington Heights,45.5194963,-122.7106671,St. Honoré Boulangerie,45.53557424,-122.6996818,Café
50,Arlington Heights,45.5194963,-122.7106671,Bar Mingo,45.52887769,-122.6946133,Lounge
51,Arlington Heights,45.5194963,-122.7106671,Pope House Bourbon Lounge,45.52644448,-122.6940787,Whisky Bar
52,Arlington Heights,45.5194963,-122.7106671,Moberi,45.53497465,-122.6987791,Food Truck
53,Arlington Heights,45.5194963,-122.7106671,ATAULA,45.53575277,-122.6997087,Tapas Restaurant
54,Arlington Heights,45.5194963,-122.7106671,Commissary,45.52956036,-122.6906019,Café
55,Arlington Heights,45.5194963,-122.7106671,Red Onion Thai,45.531111,-122.6987347,Thai Restaurant
56,Arlington Heights,45.5194963,-122.7106671,Coffeehouse Northwest,45.523211,-122.691452,Coffee Shop
57,Arlington Heights,45.5194963,-122.7106671,Driftwood Room,45.5209868,-122.6877048,Cocktail Bar
58,Arlington Heights,45.5194963,-122.7106671,Gyro Place Egyptian halal food,45.51617366,-122.6881597,Food Truck
59,Arlington Heights,45.5194963,-122.7106671,The Clearing Café,45.53528225,-122.7082818,Café
60,Arlington Heights,45.5194963,-122.7106671,Stepping Stone Cafe,45.53330949,-122.7006528,Diner
61,Arlington Heights,45.5194963,-122.7106671,Tasty ’N Alder,45.52130367,-122.6834699,American Restaurant
62,Arlington Heights,45.5194963,-122.7106671,Please Louise,45.53354328,-122.6949228,New American Restaurant
63,Arlington Heights,45.5194963,-122.7106671,Cacao Drink Chocolate,45.52261792,-122.684186,Dessert Shop
64,Arlington Heights,45.5194963,-122.7106671,Little Red's Bakeshop & Cafe,45.52056056,-122.6867102,Bakery
65,Arlington Heights,45.5194963,-122.7106671,Coava Coffee Roasters,45.51653695,-122.6859493,Coffee Shop
66,Arlington Heights,45.5194963,-122.7106671,Grassa,45.53350772,-122.698622,Italian Restaurant
67,Arlington Heights,45.5194963,-122.7106671,Portland Farmer's Market at PSU,45.51223568,-122.6849647,Farmers Market
68,Arlington Heights,45.5194963,-122.7106671,Blue Star Donuts,45.52072157,-122.6838434,Donut Shop
69,Arlington Heights,45.5194963,-122.7106671,Grassa,45.52198474,-122.6836747,Italian Restaurant
70,Arlington Heights,45.5194963,-122.7106671,Multnomah Whisk{e}y Library,45.52103048,-122.6833975,Cocktail Bar
71,Arlington Heights,45.5194963,-122.7106671,Casa del Matador,45.53326662,-122.6985801,Mexican Restaurant
72,Arlington Heights,45.5194963,-122.7106671,Mediterranean Exploration Company,45.52571249,-122.6845935,Mediterranean Restaurant
73,Arlington Heights,45.5194963,-122.7106671,Vivace Coffee House & Creperie,45.53281738,-122.6986342,Creperie
74,Arlington Heights,45.5194963,-122.7106671,Life Of Pie,45.53509807,-122.6989169,Pizza Place
